,station,lat,lon
0,Wien Jägerstraße,48.235224,16.3687097
1,Wien Burggasse-Stadthalle,48.2033124,16.3371994
2,Wien Kendlerstraße,48.2045707,16.3091223
3,Wien Stephansplatz,48.208419,16.3720045
4,Deutsch Wagram,48.302965110749035, 16.564725362212585
5,Wien Stadion,48.2104985,16.4204937
6,Wien Dresdner Straße,48.2373082,16.3802291
7,Wien Kaisermühlen VIC,48.232829,16.4164115
8,Marchegg,48.2778951,16.9097882
9,Mistelbach,48.5658634,16.5636708
10,Sollenau,47.8994729,16.2463342
11,Bisamberg,48.3316817,16.3616015
12,Wien Alterlaa,48.1505196,16.3168475
13,Wien Quartier Belvedere,48.1880263,16.3818923
14,Wien Erzherzog-Karl-Straße,48.2299661,16.4536662
15,Wien Hetzendorf,48.1668251,16.3155273
16,Wien Schweglerstraße,48.1976875,16.3286297
17,Wien Längenfeldgasse,48.1849187,16.3350467
18,Wien Siebenhirten,48.130521,16.3098385
19,Obersdorf NÖ,48.362676780787986, 16.51675467976072
20,Wien Hbf,48.1850101,16.3778549
21,Wien Roßauer Lände,48.2223375,16.3675722
22,Wien Währinger Straße-Volksoper,48.22558775,16.34950460981555
23,Wien Erlaaer Straße,48.1419866,16.3165351
24,Wien St. Marx,48.1883659,16.3987785
25,Kledering b.Wien,48.139111150000005,16.432994399169438
26,Wien Aderklaaer Straße,48.2634265,16.4516287
27,Wien Braunschweiggasse,48.1894027,16.29582
28,Wien Siemensstraße,48.2706692,16.4202214
29,Langenzersdorf,48.3096359,16.3572556
30,Wien Grillgasse,48.1673967,16.4068079
31,Wien Perfektastraße,48.1366232,16.3132527
32,Wien Ober St.Veit,48.192234,16.2761736
33,Wien Baumgasse,48.19329045548073, 16.40463374983954
34,Wien Kagraner Platz,48.2502254,16.4432539
36,Wien Donauinsel,48.22939988382592, 16.41113912187381
37,Wien Enkplatz,48.1747186,16.4147963
38,Wien Neubaugasse,48.1993161,16.3526723
39,Wien Josefstädter Straße,48.2114659,16.3391653
40,Wien Donaustadtbrücke,48.2117999,16.440166
42,Wien Kagran,48.2430028,16.4329191
43,Wien Michelbeuern-AKH,48.2211652,16.3441586
44,Wien Großfeldsiedlung,48.2710952,16.4478821
45,Wien Gumpendorfer Straße,48.1907374,16.3375442
46,Wien Taborstraße,48.2192624,16.3815518
47,Hennersdorf b.Wien,48.1280843,16.3668823
48,Wien Zippererstraße,48.1804386,16.4120644
49,Wien Urban-Loritz-Platz,48.2015705,16.3372992
50,Flughafen Wien,48.120886,16.56274369396652
51,Niederkreuzstetten,48.4803015,16.4779261
52,Paasdorf,48.5428701,16.5439271
53,Wien Hietzing,48.18777805928184,16.30412626332576
54,Wien Hütteldorfer Straße,48.2000837,16.3110744
55,Wien Jedlersdorf,48.2740664,16.3959541
56,Wien Neue Donau,48.2462997,16.3947025
57,Wien Erdberg,48.1914136,16.4141569
58,Wien Donauspital,48.2194301,16.4666399
59,Wien Stadtpark,48.2047673,16.379677676444622
60,Wien Margaretengürtel,48.1884883,16.3430303
61,Schwechat,48.14421236599338,16.481074907343395
62,Wien Atzgersdorf,48.1469134,16.2887028
63,Gerasdorf,48.293264680049546, 16.483693528585
64,Wien Hardeggasse,48.2208849,16.4578116
65,Wien Gasometer,48.1851441,16.4174702
66,Seyring,48.33050401776764, 16.501655262868393
67,Wien Mitte,48.2056315,16.3842468
68,Wien Geiselbergstraße,48.1753063,16.4070862
69,Wien Strebersdorf,48.2859164,16.3812798
70,Kapellerfeld,48.316826190795965, 16.494984765435365
71,Wien Arbeitergasse,48.1839595,16.3456057
72,Wien Vorgartenstraße,48.2236328,16.4010572
73,Wien Blechturmgasse,48.18450359103929, 16.368355378479187
74,Wien Mariahilfer Gürtel,48.1905816,16.337218
75,Spillern,48.3776046,16.2606615
76,Wien Unter St.Veit,48.1910668,16.2863684
77,Wien Karlsplatz,48.2009405,16.3695495
78,Wiener Neustadt Civitas Nova,47.833582,16.255386
79,Ebenfurth,47.8774622,16.372311
80,Untereggendorf,47.8614435,16.3215325
81,Sarasdorf,48.0213476,16.6754925
82,Münchendorf,48.0298076,16.3791947
83,Gramatneusiedl,48.0293135,16.493170124597235
84,Wien Rennweg,48.195472,16.3860262
85,Obereggendorf,47.8495875,16.2966116
86,Felixdorf,47.8786521,16.2396573
87,Trautmannsdorf an der Leitha,48.0221946,16.6356209
88,Wien Fasangasse,48.18830290158108, 16.385507744592452
89,Gumpoldskirchen,48.04151143256748,16.285707379719298
90,Pottendorf-Landegg,47.9053886,16.3960951
91,Wien Seestadt,48.2262278,16.5083947
92,Wolkersdorf im Weinviertel,48.37874707283278, 16.51245854910395
93,Wien Kettenbrückengasse,48.1966328,16.358092
94,Leobendorf-Burg Kreuzenstein,48.3642962,16.302376
95,Wien Kaiserebersdorf,48.1461718,16.4654282
96,Bruck,48.0191872,16.7812408
97,Wien Keplerplatz,48.1793553,16.3761188
98,Gänserndorf,48.3403867,16.7187051
99,Wien Handelskai,48.2419967,16.3853478
100,Wien Kardinal-Nagl-Platz,48.1975587,16.3998831
101,Wien Aspern Nord,48.2348014,16.5044429
102,Perchtoldsdorf,48.123090556643966,16.28540414823081
103,Wien Pilgramgasse,48.1921577,16.3543028
104,Wien Alser Straße,48.2167675,16.3418121
105,Wien Am Schöpfwerk,48.1606776,16.3242066
106,Wien Schottentor,48.2150481,16.3629278
107,Wien Speising,48.1735508,16.2837223
108,Helmahof,48.31042560530983, 16.59799659197385
109,Brunn-Maria Enzersdorf,48.1052454,16.2881253
110,Götzendorf,48.0145217,16.5817155
111,Oberweiden,48.3069619,16.8293716
113,Wien Thaliastraße,48.2078001,16.3380073
114,Pfaffstätten,48.0173229,16.2644673
115,Wien Herrengasse,48.209398,16.3656353
116,Wien Taubstummengasse,48.1936873,16.3704158
117,Wien Süßenbrunn,48.2855567,16.4855608
118,Wien Viehmarktgasse,48.1904829,16.4013534
119,Wien Schottenring,48.2173875,16.3723981
120,Bad Vöslau,47.9655519,16.2148073
121,Wien Schönbrunn,48.18608243047249,16.319645008397586
122,Wien Nestroyplatz,48.2153104,16.3855453
123,Wien Stubentor,48.2069483,16.3792758
124,Wien Kliebergasse,48.18308304502866, 16.364679239159315
125,Wien Altes Landgut,48.1622926,16.383225
126,Wien Traisengasse,48.2348667,16.3832879
127,Wien Heiligenstadt Bf,48.2391097,16.3603718
128,Wien Messe-Prater,48.2177786,16.4049308
129,Wien Meidling,48.1745297,16.3339652
130,Wien Schlachthausgasse,48.1940605,16.407533092689533
131,Wien Hirschstetten,48.2326874,16.4687752
132,Wien Heinrich-Drimmel-Platz,48.1880502,16.3909012
133,Wien Donaumarina,48.2064547,16.43158465997559
134,Wien Zentralfriedhof,48.1541076,16.4261034
135,Wien Friedensbrücke,48.22771,16.364119
136,Wien Liesing,48.1348604,16.2842558
137,Wien Eichenstraße,48.181317883807104,16.347702328178677
138,Wien Praterkai,48.1996637,16.4413105
139,Wien Blumental,48.1395855,16.3696314
140,Wien Schwedenplatz,48.2117248,16.3785895
141,Wien Johnstraße,48.1976006,16.3205667
142,Wien Oberlaa,48.1409687,16.404418
143,Mannswörth,48.13692851330102,16.506954373778573
144,Leobersdorf,47.9285336,16.216666
145,Wien Praterstern,48.2191234,16.3921133
146,Wien Volkstheater,48.20516935,16.35700291051384
147,Wien Niederhofstraße,48.1807684,16.331145
148,Baden b.Wien,48.00425644366528,16.242609868032652
149,Wiener Neustadt Hbf,47.8110703,16.2336549
150,Wien Hausfeldstraße,48.2334122,16.485618
151,Hautzendorf,48.4480837,16.4944372
152,Guntramsdorf-Thallern,48.052168,16.2977444
153,Wien Floridsdorf,48.2564008,16.4000183
154,Neubau-Kreuzstetten,48.49762025,16.50184571722612
155,Wien Haidestraße,48.1787974,16.4261982
156,Wien Troststraße,48.1690181,16.3802682
157,Wien Neulaa,48.1457661,16.3856058
158,Achau,48.0775262,16.384548793982674
159,Wien Tscherttegasse,48.1649777,16.3277927
160,Wien Reumannplatz,48.174919,16.377918
161,Mödling,48.08570787235795,16.295448135276047
162,Wien Brünner Straße,48.2676564,16.4036086
163,Ladendorf,48.5336216,16.4914576
164,Wien Rochusgasse,48.2020851,16.3922544
165,Wien Westbahnhof,48.1965445,16.3362817
166,Korneuburg,48.3440605,16.3334321
167,Wien Alte Donau,48.2382709,16.4247729
168,Kottingbrunn,47.9513587,16.2285187
169,Silberwald,48.3293473,16.6795304
170,Wien Leopoldau,48.2772033,16.4478315
171,Wien Alaudagasse,48.1536948,16.3823555
172,Wien Zieglergasse,48.197145,16.3462979
173,Wien Nußdorfer Straße,48.2313384,16.3524653
174,Absdorf-Hippersdorf,48.4019982,15.9857488
175,Wien Matzleinsdorfer Platz,48.18013,16.3577654
176,Wien Krieau,48.2146912,16.4137446
177,Wilfleinsdorf,48.0126081,16.7219763
178,Schleinbach,48.420017,16.4765378
179,Lanzendorf-Rannersdorf,48.1135002,16.4474776
180,Wien Rennbahnweg,48.2576086,16.4496328
181,Wien Aspernstraße,48.222586,16.4749418
182,Wien Hütteldorf,48.1973615,16.261301
183,Ebreichsdorf,47.9626455,16.4023629
185,Stockerau,48.3846124,16.2076303
186,Ulrichskirchen,48.4008321,16.492071
187,Wien Wildgansplatz,48.1858644,16.39683264063536
188,Wien Simmering,48.1700397,16.4195311
189,Strasshof,48.3189487,16.6429437
191,Himberg b.Wien,48.08250138244009,16.44535412942819
192,Gaisruck b.Stockerau,48.39424846635467,16.064578900600033
193,Hausleiten b.Stockerau,48.39148244722903,16.106262088273617
194,Wien Stadlau,48.21936450517845,16.448405008551163
195,Wien Spittelau Bahnhst,48.23564316585537,16.3582739071101
198,Wien Ottakring Bahnhst,48.21194943578536,16.310980018272126
201,Wien Handelskai Bahnhst,48.242538643147824,16.385825011657854
202,Wien Meidling Hauptstraße,48.18397304630111,16.326870366914797
