station,arrival,departure,platform,train
Wien Meidling, ,10:36,3,S1_001
Wien Matzleinsdorfer Platz,10:38,10:39,2,S1_001
Wien Hbf,10:41,10:42,2,S1_001
Wien Quartier Belvedere,10:43,10:43,2,S1_001
Wien Rennweg,10:46,10:46,2,S1_001
Wien Mitte,10:48,10:49,3,S1_001
Wien Praterstern,10:52,10:53,4,S1_001
Wien Traisengasse,10:56,10:56,2,S1_001
Wien Handelskai,10:57,10:58,2,S1_001
Wien Floridsdorf,11:01,11:02,4,S1_001
Wien Siemensstraße,11:05,11:05,2,S1_001
Wien Leopoldau,11:08,11:09,2,S1_001
Wien Süßenbrunn,11:11,11:12,2,S1_001
Deutsch Wagram,11:17,11:17,2,S1_001
Helmahof,11:21,11:21,2,S1_001
Strasshof,11:24,11:24,2,S1_001
Silberwald,11:27,11:28,2,S1_001
Gänserndorf,11:32,11:36,1,S1_001
Oberweiden,11:45,11:46,1,S1_001
Marchegg,11:54, ,1,S1_001
Mödling, ,10:21,4,S2_002
Brunn-Maria Enzersdorf,10:24,10:24,2,S2_002
Perchtoldsdorf,10:26,10:27,2,S2_002
Wien Liesing,10:29,10:30,3,S2_002
Wien Atzgersdorf,10:32,10:32,1,S2_002
Wien Hetzendorf,10:35,10:35,1,S2_002
Wien Meidling,10:38,10:39,3,S2_002
Wien Matzleinsdorfer Platz,10:41,10:42,2,S2_002
Wien Hbf,10:44,10:45,2,S2_002
Wien Quartier Belvedere,10:46,10:46,2,S2_002
Wien Rennweg,10:49,10:49,2,S2_002
Wien Mitte,10:51,10:52,4,S2_002
Wien Praterstern,10:55,10:56,3,S2_002
Wien Traisengasse,10:59,10:59,2,S2_002
Wien Handelskai,11:00,11:01,2,S2_002
Wien Floridsdorf,11:04,11:05,3,S2_002
Wien Siemensstraße,11:08,11:08,2,S2_002
Wien Leopoldau,11:11,11:12,2,S2_002
Gerasdorf,11:16,11:16,2,S2_002
Kapellerfeld,11:18,11:19,2,S2_002
Seyring,11:21,11:21,2,S2_002
Obersdorf NÖ,11:24,11:24,2,S2_002
Wolkersdorf im Weinviertel,11:27, ,3,S2_002
Wien Liesing, ,10:24,3,S3_003
Wien Atzgersdorf,10:26,10:26,1,S3_003
Wien Hetzendorf,10:29,10:29,1,S3_003
Wien Meidling,10:32,10:33,4,S3_003
Wien Matzleinsdorfer Platz,10:35,10:36,2,S3_003
Wien Hbf,10:38,10:39,2,S3_003
Wien Quartier Belvedere,10:40,10:40,2,S3_003
Wien Rennweg,10:43,10:43,2,S3_003
Wien Mitte,10:45,10:46,4,S3_003
Wien Praterstern,10:49,10:50,3,S3_003
Wien Traisengasse,10:53,10:53,2,S3_003
Wien Handelskai,10:54,10:55,2,S3_003
Wien Floridsdorf,10:58,11:01,3,S3_003
Wien Brünner Straße,11:03,11:04,2,S3_003
Wien Jedlersdorf,11:05,11:06,2,S3_003
Wien Strebersdorf,11:08,11:08,2,S3_003
Langenzersdorf,11:11,11:11,2,S3_003
